,ix,phrase,start_char,end_char,ner_label,dataset_label,label_in_phrase
0,0,the National Education Longitudinal Study (,26,69,ORG,national education longitudinal study,1
1,0,first,275,280,ORDINAL,national education longitudinal study,0
2,0,NELS,787,791,ORG,national education longitudinal study,0
3,0,880,917,920,CARDINAL,national education longitudinal study,0
4,0,NELS,1011,1015,ORG,national education longitudinal study,0
5,0,"7,920",1147,1152,CARDINAL,national education longitudinal study,0
6,0,two,1566,1569,CARDINAL,national education longitudinal study,0
7,0,Bachelor,1633,1641,PERSON,national education longitudinal study,0
8,0,WWC,1795,1798,ORG,national education longitudinal study,0
9,0,first,2009,2014,ORDINAL,national education longitudinal study,0
10,0,Bachelor,2114,2122,PERSON,national education longitudinal study,0
11,0,post-Bachelor's,2151,2166,ORG,national education longitudinal study,0
12,0,WWC,2426,2429,ORG,national education longitudinal study,0
13,0,Appendix,2488,2496,GPE,national education longitudinal study,0
14,0,three,2777,2782,CARDINAL,national education longitudinal study,0
15,0,six,2828,2831,CARDINAL,national education longitudinal study,0
16,0,three,2869,2874,CARDINAL,national education longitudinal study,0
17,0,one,2894,2897,CARDINAL,national education longitudinal study,0
18,0,six,3031,3034,CARDINAL,national education longitudinal study,0
19,0,two,3050,3053,CARDINAL,national education longitudinal study,0
20,0,seven,3087,3092,CARDINAL,national education longitudinal study,0
21,0,Appendix,3222,3230,GPE,national education longitudinal study,0
22,0,four,3314,3318,CARDINAL,national education longitudinal study,0
23,0,1990,3333,3337,DATE,national education longitudinal study,0
24,0,1992,3339,3343,DATE,national education longitudinal study,0
25,0,1994,3345,3349,DATE,national education longitudinal study,0
26,0,2000,3355,3359,DATE,national education longitudinal study,0
27,0,fourth,3366,3372,ORDINAL,national education longitudinal study,0
28,0,2000,3384,3388,DATE,national education longitudinal study,0
29,0,eighth,4186,4192,ORDINAL,national education longitudinal study,0
30,0,first,4205,4210,ORDINAL,national education longitudinal study,0
31,0,the spring of 1988,4223,4241,DATE,national education longitudinal study,0
32,0,NELS,4308,4312,ORG,national education longitudinal study,0
33,0,NELS,4543,4547,ORG,national education longitudinal study,0
34,0,two,4802,4805,CARDINAL,national education longitudinal study,0
35,0,fourth,4938,4944,ORDINAL,national education longitudinal study,0
36,0,NELS,4962,4966,ORG,national education longitudinal study,0
37,0,2000,4980,4984,DATE,national education longitudinal study,0
